"X:    " "Y:    " "Z    "
"    -1000.000000000000000" "    -1000.000000000000000" "        0.001058016235119"
"     -989.949748743718601" "    -1000.000000000000000" "        0.001076599829417"
"     -979.899497487437202" "    -1000.000000000000000" "        0.001095552121871"
"     -969.849246231155803" "    -1000.000000000000000" "        0.001114879937100"
"     -959.798994974874404" "    -1000.000000000000000" "        0.001134590145535"
"     -949.748743718593005" "    -1000.000000000000000" "        0.001154689656712"
"     -939.698492462311606" "    -1000.000000000000000" "        0.001175185411952"
"     -929.648241206030207" "    -1000.000000000000000" "        0.001196084376363"
"     -919.597989949748694" "    -1000.000000000000000" "        0.001217393530142"
"     -909.547738693467295" "    -1000.000000000000000" "        0.001239119859119"
"     -899.497487437185896" "    -1000.000000000000000" "        0.001261270344528"
"     -889.447236180904497" "    -1000.000000000000000" "        0.001283851951922"
"     -879.396984924623098" "    -1000.000000000000000" "        0.001306871619225"
"     -869.346733668341699" "    -1000.000000000000000" "        0.001330336243849"
"     -859.296482412060300" "    -1000.000000000000000" "        0.001354252668835"
"     -849.246231155778901" "    -1000.000000000000000" "        0.001378627667982"
"     -839.195979899497502" "    -1000.000000000000000" "        0.001403467929885"
"     -829.145728643216103" "    -1000.000000000000000" "        0.001428780040866"
"     -819.095477386934590" "    -1000.000000000000000" "        0.001454570466720"
"     -809.045226130653191" "    -1000.000000000000000" "        0.001480845533239"
"     -798.994974874371792" "    -1000.000000000000000" "        0.001507611405456"
"     -788.944723618090393" "    -1000.000000000000000" "        0.001534874065562"
"     -778.894472361808994" "    -1000.000000000000000" "        0.001562639289440"
"     -768.844221105527595" "    -1000.000000000000000" "        0.001590912621773"
"     -758.793969849246196" "    -1000.000000000000000" "        0.001619699349672"
"     -748.743718592964797" "    -1000.000000000000000" "        0.001649004474778"
"     -738.693467336683398" "    -1000.000000000000000" "        0.001678832683803"
"     -728.643216080401999" "    -1000.000000000000000" "        0.001709188317446"
"     -718.592964824120600" "    -1000.000000000000000" "        0.001740075337681"
"     -708.542713567839201" "    -1000.000000000000000" "        0.001771497293346"
"     -698.492462311557802" "    -1000.000000000000000" "        0.001803457284041"
"     -688.442211055276402" "    -1000.000000000000000" "        0.001835957922280"
"     -678.391959798995003" "    -1000.000000000000000" "        0.001869001293906"
"     -668.341708542713604" "    -1000.000000000000000" "        0.001902588916751"
"     -658.291457286432205" "    -1000.000000000000000" "        0.001936721697545"
"     -648.241206030150806" "    -1000.000000000000000" "        0.001971399887079"
"     -638.190954773869294" "    -1000.000000000000000" "        0.002006623033661"
"     -628.140703517587895" "    -1000.000000000000000" "        0.002042389934873"
"     -618.090452261306496" "    -1000.000000000000000" "        0.002078698587709"
"     -608.040201005025096" "    -1000.000000000000000" "        0.002115546137134"
"     -597.989949748743697" "    -1000.000000000000000" "        0.002152928823151"
"     -587.939698492462298" "    -1000.000000000000000" "        0.002190841926476"
"     -577.889447236180786" "    -1000.000000000000000" "        0.002229279712939"
"     -567.839195979899387" "    -1000.000000000000000" "        0.002268235376742"
"     -557.788944723617988" "    -1000.000000000000000" "        0.002307700982743"
"     -547.738693467336589" "    -1000.000000000000000" "        0.002347667407938"
"     -537.688442211055190" "    -1000.000000000000000" "        0.002388124282363"
"     -527.638190954773791" "    -1000.000000000000000" "        0.002429059929641"
"     -517.587939698492391" "    -1000.000000000000000" "        0.002470461307443"
"     -507.537688442210992" "    -1000.000000000000000" "        0.002512313948145"
"     -497.487437185929593" "    -1000.000000000000000" "        0.002554601900019"
"     -487.437185929648194" "    -1000.000000000000000" "        0.002597307669290"
"     -477.386934673366795" "    -1000.000000000000000" "        0.002640412163455"
"     -467.336683417085396" "    -1000.000000000000000" "        0.002683894636272"
"     -457.286432160803997" "    -1000.000000000000000" "        0.002727732634874"
"     -447.236180904522598" "    -1000.000000000000000" "        0.002771901949460"
"     -437.185929648241199" "    -1000.000000000000000" "        0.002816376566105"
"     -427.135678391959800" "    -1000.000000000000000" "        0.002861128623191"
"     -417.085427135678287" "    -1000.000000000000000" "        0.002906128372042"
"     -407.035175879396888" "    -1000.000000000000000" "        0.002951344142339"
"     -396.984924623115489" "    -1000.000000000000000" "        0.002996742312936"
"     -386.934673366834090" "    -1000.000000000000000" "        0.003042287288693"
"     -376.884422110552691" "    -1000.000000000000000" "        0.003087941483976"
"     -366.834170854271292" "    -1000.000000000000000" "        0.003133665313473"
"     -356.783919597989893" "    -1000.000000000000000" "        0.003179417190991"
"     -346.733668341708494" "    -1000.000000000000000" "        0.003225153536876"
"     -336.683417085427095" "    -1000.000000000000000" "        0.003270828794717"
"     -326.633165829145696" "    -1000.000000000000000" "        0.003316395457950"
"     -316.582914572864297" "    -1000.000000000000000" "        0.003361804106991"
"     -306.532663316582898" "    -1000.000000000000000" "        0.003407003457440"
"     -296.482412060301499" "    -1000.000000000000000" "        0.003451940419925"
"     -286.432160804019986" "    -1000.000000000000000" "        0.003496560172030"
"     -276.381909547738587" "    -1000.000000000000000" "        0.003540806242756"
"     -266.331658291457188" "    -1000.000000000000000" "        0.003584620609839"
"     -256.281407035175789" "    -1000.000000000000000" "        0.003627943810202"
"     -246.231155778894390" "    -1000.000000000000000" "        0.003670715063705"
"     -236.180904522612991" "    -1000.000000000000000" "        0.003712872410267"
"     -226.130653266331592" "    -1000.000000000000000" "        0.003754352860314"
"     -216.080402010050193" "    -1000.000000000000000" "        0.003795092558388"
"     -206.030150753768794" "    -1000.000000000000000" "        0.003835026959623"
"     -195.979899497487395" "    -1000.000000000000000" "        0.003874091018670"
"     -185.929648241205996" "    -1000.000000000000000" "        0.003912219390486"
"     -175.879396984924597" "    -1000.000000000000000" "        0.003949346642285"
"     -165.829145728643198" "    -1000.000000000000000" "        0.003985407475777"
"     -155.778894472361685" "    -1000.000000000000000" "        0.004020336958709"
"     -145.728643216080286" "    -1000.000000000000000" "        0.004054070764523"
"     -135.678391959798887" "    -1000.000000000000000" "        0.004086545418866"
"     -125.628140703517488" "    -1000.000000000000000" "        0.004117698551498"
"     -115.577889447236089" "    -1000.000000000000000" "        0.004147469152063"
"     -105.527638190954690" "    -1000.000000000000000" "        0.004175797828037"
"      -95.477386934673291" "    -1000.000000000000000" "        0.004202627063101"
"      -85.427135678391892" "    -1000.000000000000000" "        0.004227901474068"
"      -75.376884422110493" "    -1000.000000000000000" "        0.004251568064460"
"      -65.326633165829094" "    -1000.000000000000000" "        0.004273576472764"
"      -55.276381909547695" "    -1000.000000000000000" "        0.004293879213379"
"      -45.226130653266296" "    -1000.000000000000000" "        0.004312431908277"
"      -35.175879396984783" "    -1000.000000000000000" "        0.004329193507396"
"      -25.125628140703384" "    -1000.000000000000000" "        0.004344126495877"
"      -15.075376884421985" "    -1000.000000000000000" "        0.004357197086285"
"       -5.025125628140586" "    -1000.000000000000000" "        0.004368375394091"
"        5.025125628140813" "    -1000.000000000000000" "        0.004377635594791"
